TeamID,Team Name,Rank,uId,Player Name,Health,Kill Num,Damage,Max Kill Distance,Assists,Knockouts,Head Shot Num,In Damage,Heal,Survival Time,Outside Blue Circle Time,Poison Total Damage,Kill Num In Vehicle,Kill Num By Grenade,Drive Distance,March Distance,Rescue Times,Use Smoke Grenade Num,Use Frag Grenade Num,Use Burn Grenade Num,Use Flash Grenade Num,Got Air Drop Num,Total Damage per Team
"50","Team50","1","5239928654","sirPERCYッ","87","7","875","181","0","2","1","136","123","20m 47s","0m 0s","0","0","0","4876","2179","0","2","3","0","0","0","875"
"36","Team36","2","590341916","ŪūūSTOP","0","7","942","138","0","1","1","348","148","19m 55s","0m 0s","0","0","0","4411","1815","0","6","2","3","0","0","942"
"28","Team28","3","51556582114","๛R٭O٭Y؄总","0","0","0","0","0","0","0","96","56","18m 47s","0m 4s","60","0","0","2357","1285","0","0","0","0","0","0","0"
"31","Team31","4","5584826591","McS๛SIKA","0","6","537","153","0","1","2","326","120","18m 4s","0m 0s","0","0","1","867","2306","0","2","1","0","0","0","537"
"97","Team97","5","546362992","ㅇMiLeK","0","0","37","0","0","0","0","253","296","18m 34s","0m 24s","126","0","0","4549","1359","0","0","0","0","0","0","37"
"26","Team26","6","51830351242","Sadbacterium","0","1","101","2","0","0","0","187","102","18m 37s","0m 0s","0","0","0","5166","1679","0","0","0","0","0","0","101"
"39","Team39","7","573587941","AngelFlowYT","0","2","388","25","0","0","0","200","0","17m 44s","0m 0s","0","0","0","2792","2004","0","1","0","0","0","0","388"
"21","Team21","8","576985008","5乛XT丨MOISÉS","0","2","349","37","0","1","0","157","137","17m 54s","0m 18s","76","0","0","4000","1681","0","3","2","0","0","0","349"
"46","Team46","9","555362931","JAANūG","0","4","441","70","0","1","1","503","419","17m 2s","0m 12s","128","0","0","151","2556","0","0","5","1","0","1","441"
"9","Team9","10","51725569588","ʕ̫͡تʔbebe","0","0","0","0","0","0","0","75","431","17m 11s","2m 40s","456","0","0","8551","1103","0","0","0","0","0","0","0"
"3","Team3","11","5950087030","1DFㅤUriel么","0","2","344","57","0","0","0","62","191","16m 41s","2m 24s","229","1","0","4858","795","0","1","2","0","0","0","344"
"6","Team6","12","579843695","Sh4kY23","0","1","38","1","0","0","0","170","28","16m 50s","0m 4s","36","0","0","0","1840","0","0","0","0","0","0","38"
"8","Team8","13","577701862","X7E丨K1DBUZ4Ø","0","7","888","104","0","1","0","197","306","17m 21s","1m 48s","177","0","1","2317","1794","0","0","14","7","0","0","888"
"13","Team13","14","5290861254","SVシNoēNi","0","1","223","3","0","0","0","334","272","16m 34s","1m 19s","137","0","0","4370","1243","0","0","1","0","0","1","223"
"96","Team96","15","5539851147","namelessॱ666","0","5","526","133","0","1","2","364","204","16m 9s","0m 7s","42","0","0","735","1470","0","3","7","2","0","0","526"
"7","Team7","16","52121689359","尺父丂๛Carlos","0","1","100","8","0","1","1","252","185","16m 18s","0m 9s","32","0","0","1921","1589","0","0","0","0","0","0","100"
"49","Team49","17","591729999","4everVer͜͡sa","0","2","275","7","0","0","1","248","48","16m 5s","0m 0s","0","0","0","2181","1741","0","0","0","0","0","0","275"
"16","Team16","18","52301569636","elwilliams","0","0","0","0","0","0","0","200","0","15m 57s","0m 0s","0","0","0","1106","627","0","0","0","0","0","0","0"
"22","Team22","19","51644892258","5乛XT丨SANDY","0","1","100","121","0","0","0","200","250","16m 15s","1m 35s","150","0","0","6577","908","0","1","0","0","0","0","100"
"34","Team34","20","5124569649","ʕ͡ټʔJohn๛","0","2","324","360","0","0","0","247","47","15m 54s","0m 0s","0","0","0","2084","1650","0","1","4","5","0","1","324"
"24","Team24","21","5353138435","总・乃OTT","0","2","220","124","0","0","0","157","456","14m 42s","3m 1s","403","0","0","2584","2603","0","2","3","0","0","0","220"
"17","Team17","22","5246174854","CARLO》","0","0","0","0","0","0","0","219","117","13m 8s","0m 23s","96","0","0","3333","1522","0","0","0","0","0","0","0"
"37","Team37","23","52065821915","TMG×TUTE","0","1","250","2","0","0","0","100","108","14m 3s","0m 51s","217","0","0","71","866","0","0","0","0","0","0","250"
"4","Team4","24","51446952222","『VANSII』","0","1","89","37","0","0","1","131","127","14m 49s","0m 48s","91","0","0","2657","2830","0","0","0","0","0","0","89"
"1","Team1","25","51308238408","ØK͜͡Anubis","0","3","255","17","0","0","0","333","133","13m 47s","0m 0s","0","0","0","2036","2279","0","1","1","3","0","1","255"
"100","Team100","26","5190823827","JRZHAWIWI","0","2","257","8","0","0","0","283","111","13m 3s","0m 15s","28","0","0","5018","1609","0","2","1","0","0","0","257"
"14","Team14","27","5211715800","FF9乛ALPER","0","1","213","4","0","0","0","175","1","12m 14s","0m 12s","26","0","0","2929","1098","0","0","0","0","0","0","213"
"35","Team35","28","5228853749","那ASTAROTH人爺","0","2","144","40","0","0","0","198","129","11m 22s","1m 37s","131","0","0","6950","1081","0","0","0","0","0","0","144"
"23","Team23","29","51751282457","OXGxDenver77","0","0","0","0","0","0","0","43","9","11m 38s","0m 14s","24","0","0","2577","1159","0","0","0","0","0","0","0"
"43","Team43","30","5151093169","『LC』CoCo","0","0","0","0","0","0","0","100","78","12m 20s","0m 59s","70","0","0","8190","938","0","0","0","0","0","0","0"
"19","Team19","31","5468513982","WDMamberroi","0","4","418","4","0","1","1","357","257","12m 42s","0m 0s","0","0","0","2953","1625","0","0","4","1","0","1","418"
"44","Team44","32","51388073823","JPW〆Jɸrgito","0","1","129","3","0","0","0","230","41","11m 13s","0m 0s","0","0","0","2242","1802","0","0","0","0","0","1","129"
"25","Team25","33","5124700603","乙z丨¹Oliver","0","3","532","21","0","0","0","283","83","9m 40s","0m 0s","0","0","0","0","1773","0","0","0","1","0","0","532"
"38","Team38","34","5343752310","TMG×BENJA","0","1","189","5","0","0","0","200","0","9m 39s","0m 0s","0","0","0","438","1176","0","0","2","0","0","0","189"
"47","Team47","35","5764361473","McS๛PEACHツ","0","0","0","0","0","0","0","100","0","10m 15s","0m 0s","0","0","0","1829","1496","0","0","0","0","0","0","0"
"5","Team5","36","5336419911","ryuMUSTANGg38","0","2","446","31","0","0","1","246","46","9m 13s","0m 0s","0","0","0","0","1054","0","1","1","0","0","0","446"
"33","Team33","37","5216749258","CDSxJxUxZ","0","0","223","0","0","0","0","293","93","8m 0s","0m 0s","0","0","0","0","626","0","1","7","2","0","0","223"
"11","Team11","38","51792225482","ELLIMINATE2","0","0","53","0","0","0","0","100","0","8m 31s","0m 0s","0","0","0","0","1557","0","0","0","0","0","0","53"
"81","Team81","39","523825193","BRØ艾SHADES〆","0","2","267","10","0","1","0","206","12","5m 46s","0m 0s","0","1","0","1814","671","0","2","1","0","0","0","267"
"95","Team95","40","51904546561","ค×sGム乃口』","0","0","0","0","0","0","0","99","0","7m 24s","0m 0s","0","0","0","3003","770","0","0","0","0","0","0","0"
"98","Team98","41","52171538893","【BP】NINJA","0","2","332","4","0","0","0","249","91","5m 33s","0m 0s","0","0","0","0","498","0","0","1","0","0","0","332"
"40","Team40","42","52261175462","McS๛Joviss","0","0","0","0","0","0","0","100","0","5m 51s","0m 0s","0","0","0","0","1100","0","0","0","0","0","0","0"
"41","Team41","43","5128953808","McS๛PubgManco","0","0","62","0","0","0","0","100","0","5m 45s","0m 0s","0","0","0","0","606","0","0","0","0","0","0","62"
"64","Team64","44","5298814450","insJunior","0","0","0","0","0","0","0","292","142","5m 3s","0m 0s","0","0","0","0","711","0","0","3","0","0","0","0"
"2","Team2","45","52012409081","AZR〆マルチー","0","1","100","3","0","0","1","384","184","4m 36s","0m 0s","0","0","0","0","734","0","0","0","0","0","0","100"
"42","Team42","46","5845452191","『Masternoob』","0","0","0","0","0","0","0","100","0","5m 11s","0m 0s","0","0","0","0","889","0","0","0","0","0","0","0"
"32","Team32","47","51726840842","W4R흣〆ɪʀvin","0","0","25","0","0","0","0","200","0","4m 12s","0m 0s","0","0","0","1291","539","0","2","0","0","0","0","25"
"12","Team12","48","51318659282","Javic3","0","0","0","0","0","0","0","160","68","4m 41s","0m 0s","0","0","0","1907","532","0","0","0","0","0","0","0"
"10","Team10","49","52043870816","Josthin3000","0","0","0","0","0","0","0","210","10","3m 18s","0m 0s","0","0","0","0","436","0","2","1","0","0","0","0"
"20","Team20","50","5534879633","exoCherryelizz","0","0","0","0","0","0","0","200","0","2m 37s","0m 0s","0","0","0","0","507","0","0","0","1","0","0","0"
"30","Team30","51","5612855558","ASFŰLUNA","0","0","84","0","0","0","0","200","0","2m 3s","0m 0s","0","0","0","44","223","0","0","0","0","0","0","84"
"15","Team15","52","5343802844","szTeamWacho","0","3","411","36","0","0","0","262","62","1m 38s","0m 0s","0","0","0","0","148","0","0","0","0","0","0","411"
"27","Team27","53","51849036118","Revenger15","0","0","0","0","0","0","0","100","0","1m 23s","0m 0s","0","0","0","0","300","0","0","0","0","0","0","0"
"18","Team18","54","510552771","NLsCASTIEL","0","0","29","0","0","0","0","100","0","1m 39s","0m 0s","0","0","0","0","218","0","0","1","0","0","0","29"
"29","Team29","55","52079832878","Lord〆や0W3R个","0","0","84","0","0","0","0","200","0","0m 30s","0m 0s","0","0","0","0","74","0","0","0","0","0","0","84"
