TeamID,Team Name,Rank,uId,Player Name,Health,Kill Num,Damage,Max Kill Distance,Assists,Knockouts,Head Shot Num,In Damage,Heal,Survival Time,Outside Blue Circle Time,Poison Total Damage,Kill Num In Vehicle,Kill Num By Grenade,Drive Distance,March Distance,Rescue Times,Use Smoke Grenade Num,Use Frag Grenade Num,Use Burn Grenade Num,Use Flash Grenade Num,Got Air Drop Num,Total Damage per Team
"33","Team33","1","5239928654","sirPERCYッ","13","8","842","191","0","2","2","187","262","20m 3s","2m 41s","171","0","0","4898","1915","0","0","4","0","0","0","842"
"12","Team12","2","5732128519","เʍp٭Gɪ","0","3","413","5","0","0","2","355","248","19m 28s","0m 0s","0","1","0","638","1452","0","2","2","1","0","0","413"
"1","Team1","3","51556582114","๛R٭O٭Y؄总","0","1","100","3","0","0","0","100","34","19m 20s","0m 0s","0","0","0","4536","2036","0","0","3","0","0","0","100"
"6","Team6","4","5336419911","ryuMUSTANGg38","0","3","373","48","0","1","0","100","0","18m 28s","0m 0s","0","0","0","256","947","0","0","0","0","0","0","373"
"30","Team30","5","510552771","NLsCASTIEL","0","3","283","78","0","0","1","163","91","18m 28s","0m 33s","27","0","0","2743","2141","0","0","1","0","0","0","283"
"4","Team4","6","5128953808","McS๛PubgManco","0","2","194","112","0","0","1","118","46","18m 7s","0m 1s","28","0","0","1054","1485","0","0","0","0","0","0","194"
"14","Team14","7","51671825699","เʍp๛乙ㅤATO","0","2","385","136","0","0","0","100","132","16m 37s","2m 9s","123","0","0","4161","1501","0","0","0","2","0","0","385"
"24","Team24","8","51852030818","TikTok〙IZUKU","0","1","100","10","0","0","1","100","134","16m 23s","1m 33s","133","0","0","3303","862","0","0","0","0","0","0","100"
"28","Team28","9","555760861","RevOMAR","0","0","0","0","0","0","0","110","10","16m 3s","0m 0s","0","0","0","0","1894","0","0","0","0","0","0","0"
"60","Team60","10","5345947799","4everC͜͡utzZ","0","1","148","23","0","0","0","191","92","16m 23s","0m 0s","0","0","0","2319","2406","0","0","1","1","0","0","148"
"3","Team3","11","5584826591","McS๛SIKA","0","1","169","21","0","0","0","92","64","15m 18s","0m 2s","50","0","0","169","2136","0","0","0","0","0","1","169"
"39","Team39","12","5218412482","wizzzard69","0","1","131","70","0","0","0","100","2","14m 39s","0m 2s","2","0","0","2533","709","0","0","1","0","1","0","131"
"20","Team20","13","5539851147","namelessॱ666","0","1","245","6","0","1","0","261","164","14m 12s","0m 0s","0","0","0","2343","1293","0","0","1","1","0","0","245"
"41","Team41","14","51644892258","5乛XT丨SANDY","0","3","276","97","0","0","0","198","141","13m 57s","0m 5s","34","0","0","376","1132","0","1","0","0","0","0","276"
"36","Team36","15","5124700603","乙z丨¹Oliver","0","1","100","42","0","0","1","0","32","14m 11s","0m 17s","136","0","0","4792","714","0","0","0","0","0","0","100"
"26","Team26","16","576985008","5乛XT丨MOISÉS","0","0","0","0","0","0","0","152","568","14m 28s","5m 1s","516","0","0","1474","2377","0","0","0","0","0","0","0"
"99","Team99","17","5668907213","RevSpikros","0","0","0","0","0","0","0","88","4","13m 45s","0m 0s","0","0","0","1139","1279","0","0","1","0","0","0","0"
"29","Team29","18","5534879633","exoCherryelizz","0","0","54","0","0","0","0","100","119","13m 33s","1m 5s","119","0","0","0","2222","0","0","0","0","0","0","54"
"7","Team7","19","5845452191","『Masternoob』","0","0","0","0","0","0","0","100","0","13m 28s","0m 0s","0","0","0","0","991","0","0","0","0","0","0","0"
"15","Team15","20","52012409081","AZR〆マルチー","0","0","0","0","0","0","0","100","0","13m 36s","0m 0s","0","0","0","1517","523","0","0","0","0","0","0","0"
"21","Team21","21","51777125068","VIPCarlos","0","1","113","0","0","0","0","100","32","13m 27s","0m 8s","32","0","0","772","1061","0","2","0","0","0","0","113"
"59","Team59","22","5197984281","youūīē","0","6","674","48","0","1","0","157","173","12m 55s","1m 54s","116","0","0","3815","1171","0","0","2","0","0","1","674"
"19","Team19","23","5787373636","ＭＡＰＡＳＨＥ","0","1","147","0","0","0","0","93","424","11m 28s","5m 41s","431","0","0","277","2332","0","0","0","0","0","0","147"
"44","Team44","24","5379563123","Gonzalez1822","0","0","0","0","0","0","0","154","85","11m 19s","0m 0s","4","0","0","2669","1620","0","0","0","0","0","0","0"
"22","Team22","25","573587941","AngelFlowYT","0","0","0","0","0","0","0","100","0","11m 13s","0m 0s","0","0","0","2250","1518","0","0","0","0","0","0","0"
"23","Team23","26","5290861254","SVシNoēNi","0","1","131","14","0","1","0","110","0","9m 57s","0m 0s","0","0","0","1559","1232","0","6","3","0","0","0","131"
"27","Team27","27","5891045284","Frichu","0","0","0","0","0","0","0","161","376","9m 37s","4m 30s","314","0","0","699","1732","0","0","0","0","0","0","0"
"32","Team32","28","52016601753","redEndeavor","0","0","0","0","0","0","0","110","69","8m 13s","0m 53s","59","0","0","0","1656","0","0","1","0","0","0","0"
"16","Team16","29","52121689359","尺父丂๛Carlos","0","0","0","0","0","0","0","100","33","7m 52s","0m 30s","33","0","0","0","1316","0","0","0","0","0","0","0"
"5","Team5","30","51308238408","ØK͜͡Anubis","0","0","113","0","0","0","0","100","54","8m 8s","1m 7s","53","0","0","2896","1320","0","0","3","0","0","0","113"
"35","Team35","31","5343802844","szTeamWacho","0","2","200","99","0","0","0","0","189","7m 44s","4m 13s","290","0","0","2040","1408","0","0","0","0","0","0","200"
"25","Team25","32","51792225482","ELLIMINATE2","0","0","0","0","0","0","0","100","75","7m 14s","1m 9s","75","0","0","0","1365","0","1","0","0","0","0","0"
"95","Team95","33","5216749258","CDSxJxUxZ","0","0","0","0","0","0","0","100","0","7m 18s","0m 0s","0","0","0","669","565","0","0","0","0","0","0","0"
"8","Team8","34","5228853749","那ASTAROTH人爺","0","1","100","22","0","0","0","100","0","7m 18s","0m 0s","0","0","0","0","1125","0","0","0","0","0","0","100"
"42","Team42","35","5649011831","やøco͜͡yó","0","0","0","0","0","0","0","113","125","7m 38s","1m 57s","112","0","0","2249","1078","0","0","1","2","0","0","0"
"11","Team11","36","51849036118","Revenger15","0","0","0","0","0","0","0","76","177","6m 15s","3m 16s","201","0","0","1884","751","0","0","0","0","0","0","0"
"58","Team58","37","591729999","4everVer͜͡sa","0","1","94","26","0","0","0","57","126","6m 30s","2m 38s","169","0","0","1389","1096","0","0","0","0","0","0","94"
"10","Team10","38","579843695","Sh4kY23","0","0","0","0","0","0","0","55","97","5m 43s","2m 13s","141","0","0","0","1564","0","0","0","0","0","0","0"
"100","Team100","39","52099648640","07Ecuador'JE","0","0","0","0","0","0","0","67","80","5m 28s","1m 54s","112","0","0","1345","786","0","0","0","0","0","0","0"
"17","Team17","40","580299064","Báezツ","0","0","0","0","0","0","0","67","33","4m 10s","1m 23s","67","0","0","55","1125","0","0","0","0","0","0","0"
"43","Team43","41","5612855558","ASFŰLUNA","0","0","0","0","0","0","0","93","0","4m 1s","0m 7s","6","0","0","2243","411","0","0","0","0","0","0","0"
"13","Team13","42","52181442907","CDSxRRR","0","0","0","0","0","0","0","100","0","3m 32s","0m 0s","0","0","0","0","735","0","0","0","0","0","0","0"
"2","Team2","43","5468513982","WDMamberroi","0","0","0","0","0","0","0","99","0","1m 43s","0m 0s","0","0","0","0","323","0","0","0","0","0","0","0"
"57","Team57","44","511308005","4everKąrmą٭","0","2","101","27","0","0","0","154","54","1m 47s","0m 0s","0","0","0","0","278","0","0","0","0","0","0","101"
"37","Team37","45","51910091830","B§'Oscarust","0","0","169","0","0","0","0","100","0","0m 23s","0m 0s","0","0","0","0","79","0","0","0","0","0","0","169"
"31","Team31","46","5216912281","SRT×͜×Xavi","0","0","0","0","0","0","0","100","0","0m 17s","0m 0s","0","0","0","0","43","0","0","0","0","0","0","0"
"18","Team18","47","5250695449","DEUNCORNETAZO","0","0","0","0","0","0","0","100","0","0m 8s","0m 0s","0","0","0","0","40","0","0","0","0","0","0","0"
"34","Team34","48","5809264987","GLAD1AD0OR","0","0","0","0","0","0","0","100","0","0m 12s","0m 0s","0","0","0","0","33","0","0","0","0","0","0","0"
"61","Team61","49","51513525211","S1xWARZITOhz","0","1","45","12","0","0","0","100","0","0m 19s","0m 0s","0","0","0","0","46","0","0","0","0","0","0","45"
"40","Team40","50","590341916","ŪūūSTOP","0","0","0","0","0","0","0","100","0","0m 12s","0m 0s","0","0","0","0","26","0","0","0","0","0","0","0"
