"TeamID","Nombredel Equipo","Rango","uId","Nombredel Jugador","Salud","Númerode Bajas","Daño","Máxima Distanciade Baja","Asistencias","Noqueos","Número deHeadshots","DañoRecibido","Curación","Tiempo deSupervivencia","Tiempo Fuera delCírculo Azul","Daño Totalpor Veneno","Bajas enVehículo","Bajas conGranada","DistanciaConducida","DistanciaRecorrida","Rescates","Granadas de HumoUsadas","Granadas FragmentaciónUsadas","Granadas IncendiariasUsadas","Granadas CegadorasUsadas","SuministrosObtenidos","Daño Totalpor Equipo"
29,Team29,1,5134902957,prime曼努埃爾,67,9,889,92,0,0,1,278,421,20m 53s,2m 43s,174,0,1,3062,2236,0,6,5,0,0,0,889
94,Team94,2,5539851147,namelessॱ666,0,2,235,55,0,0,1,159,387,20m 26s,4m 3s,327,0,0,5199,1304,0,4,2,0,1,0,235
3,Team3,3,51830351242,Sadbacterium,0,0,0,0,0,0,0,64,0,19m 41s,0m 2s,36,0,0,3862,2940,0,4,2,1,0,0,0
12,Team12,4,520705519,MismisimoEddie,0,3,262,36,0,0,1,180,216,19m 51s,0m 57s,135,0,0,5219,1883,0,3,3,0,0,0,262
32,Team32,5,568524628,RNGJONA,0,4,400,83,0,0,0,133,173,18m 56s,0m 6s,140,0,0,383,2202,0,5,4,0,0,0,400
23,Team23,6,539864305,尺父丂๛KÜAÜ,0,0,51,0,0,0,0,140,85,18m 21s,0m 0s,0,0,0,0,3097,0,0,1,1,0,0,51
7,Team7,7,5162712510,Mʞ〢ＪＪ,0,5,528,49,0,0,2,203,298,18m 33s,2m 51s,193,0,0,4158,2239,0,3,2,1,0,0,528
14,Team14,8,5172854757,Hotsito,0,2,265,35,0,0,0,106,330,18m 29s,3m 53s,246,0,0,3610,2348,0,0,1,0,0,0,265
17,Team17,9,51556582114,๛R٭O٭Y؄总,0,0,0,0,0,0,0,102,7,15m 7s,0m 0s,0,0,0,1955,3280,0,2,0,0,0,0,0
19,Team19,10,511317182,sosBLUNDER,0,1,100,4,0,0,0,100,0,14m 30s,0m 0s,0,0,0,0,1459,0,0,0,0,0,0,100
13,Team13,11,591729999,4everVer͜͡sa,0,2,270,20,0,0,0,234,422,14m 21s,4m 11s,287,0,1,2830,2210,0,1,1,1,0,1,270
82,Team82,12,51644892258,5乛XT丨SANDY,0,1,100,40,0,0,0,100,0,13m 13s,0m 0s,0,0,0,3309,1533,0,0,0,0,0,0,100
31,Team31,13,5118949494,pgZeta,0,3,270,76,0,0,1,82,201,14m 7s,2m 26s,223,0,0,3162,1638,0,0,0,0,0,0,270
28,Team28,14,5133415638,TMPTEMPESTA,0,1,86,8,0,0,0,100,24,13m 20s,0m 27s,24,0,0,2048,1244,0,0,0,0,0,0,86
34,Team34,15,5563068333,MLFxxSEBASTIAN,0,0,83,0,0,0,0,100,272,13m 32s,4m 15s,272,0,0,1187,2337,0,0,0,0,0,0,83
100,Team100,16,5779671525,SVシANUBIS,0,0,0,0,0,0,0,127,195,12m 54s,1m 46s,116,0,0,2915,888,0,0,1,0,0,0,0
43,Team43,17,5336419911,ryuMUSTANGg38,0,1,191,22,0,1,0,0,205,12m 25s,2m 39s,405,0,0,0,1623,0,0,2,0,0,0,191
90,Team90,18,5501679006,5乛XT丨MICHEL,0,0,0,0,0,0,0,63,94,11m 45s,0m 47s,131,0,0,2941,891,0,0,0,0,0,0,0
24,Team24,19,573587941,AngelFlowYT,0,0,50,0,0,0,0,124,24,10m 38s,0m 0s,0,0,0,0,718,0,0,0,0,0,0,50
16,Team16,20,51867149474,sirJOST,0,3,369,108,0,0,0,177,297,11m 4s,3m 24s,220,1,0,2027,1337,0,0,4,0,0,0,369
99,Team99,21,546165438,TLGgara,0,2,145,129,0,0,0,99,75,9m 42s,1m 19s,75,0,0,2737,950,0,0,0,0,0,0,145
9,Team9,22,5385943078,crimJedly,0,0,26,0,0,0,0,100,122,9m 30s,1m 8s,122,0,0,0,2015,0,0,0,0,0,0,26
35,Team35,23,580808911,BERฮGødzilla,0,2,217,163,0,0,0,123,123,9m 2s,1m 31s,99,0,0,1677,1166,0,1,0,0,0,0,217
49,Team49,24,590341916,ŪūūSTOP,0,3,368,103,0,1,0,146,46,9m 28s,0m 0s,0,0,0,2492,1445,0,1,0,0,0,0,368
39,Team39,25,5191540334,FlowersGG,0,1,101,105,0,0,0,176,76,9m 9s,0m 0s,0,0,0,1943,744,0,0,0,0,0,0,101
45,Team45,26,5903187007,1paRoyerJr,0,2,250,311,0,0,1,87,304,8m 40s,4m 16s,317,0,0,1082,939,0,1,0,0,0,0,250
37,Team37,27,5164430388,bcStiven283,0,0,24,0,0,0,0,148,56,7m 43s,0m 6s,7,0,0,161,1376,0,0,0,0,0,0,24
88,Team88,28,51402953794,4RPūNaycoB,0,3,286,102,0,0,1,270,79,7m 34s,0m 0s,0,0,0,0,1076,0,0,1,0,0,0,286
4,Team4,29,51849036118,Revenger15,0,0,0,0,0,0,0,100,100,6m 56s,1m 35s,100,0,0,0,1787,0,0,0,0,0,0,0
81,Team81,30,5216749258,CDSxJxUxZ,0,3,350,107,0,0,0,123,23,7m 2s,0m 0s,0,0,0,0,578,0,0,0,0,0,0,350
44,Team44,31,51895004064,4everGabbyガビ,0,0,0,0,0,0,0,85,167,6m 31s,2m 56s,182,0,0,1302,1324,0,0,0,0,0,0,0
18,Team18,32,551989148,1paXeneize,0,2,194,16,0,0,0,66,113,6m 11s,2m 6s,146,0,0,0,862,0,1,0,0,0,0,194
27,Team27,33,52189333869,BanngT,0,0,0,0,0,0,0,60,118,6m 15s,2m 31s,157,0,0,0,1511,0,0,0,0,0,0,0
